City,Country,Max Temp,Lat,Lng,Hotel Name
Porto Novo,BJ,27.3,6.4965,2.6036,
Ladario,BR,26.92,-19.0047,-57.6017,
Atuona,PF,25.97,-9.8,-139.0333,
Reo,BF,26.85,12.3167,-2.4667,
Avarua,CK,26.03,-21.2078,-159.775,
Wawa,NG,27.78,9.9022,4.4192,
Nong Khae,TH,26.1,14.3406,100.8673,
Castro,BR,23.59,-24.7911,-50.0119,
Rikitea,PF,25.18,-23.1203,-134.9692,
Cabedelo,BR,28.23,-6.9811,-34.8339,
Nazare,BR,26.52,-13.035,-39.0144,
Souillac,MU,26.31,-20.5167,57.5167,
Cidreira,BR,24.01,-30.1811,-50.2056,
Bambous Virieux,MU,26.23,-20.3428,57.7575,
Forecariah,GN,28.07,9.4306,-13.0881,
Acapulco,MX,29.28,16.8634,-99.8901,
Noumea,NC,26.67,-22.2763,166.4572,
Bengkulu,ID,23.88,-3.8004,102.2655,
Vaini,TO,26.75,-21.2,-175.2,
Dingle,PH,23.15,10.9995,122.6711,
Kilindoni,TZ,27.78,-7.9139,39.6668,
Isangel,VU,26.47,-19.55,169.2667,
Douala,CM,28.27,4.0483,9.7043,
Komatipoort,ZA,26.7,-25.4332,31.9548,
Lodwar,KE,27.96,3.1191,35.5973,
Port Blair,IN,24.56,11.6667,92.75,
Butaritari,KI,27.11,3.0707,172.7902,
Abeokuta,NG,29.17,7.15,3.35,
Conakry,GN,27.42,9.538,-13.6773,
Meulaboh,ID,24.63,4.1363,96.1285,
Rio Gallegos,AR,23.36,-51.6226,-69.2181,
Salinopolis,BR,29.19,-0.6136,-47.3561,
Saint-Philippe,RE,24.77,-21.3585,55.7679,
Bathsheba,BB,26.95,13.2167,-59.5167,
Atambua,ID,23.11,-9.1061,124.8925,
Hithadhoo,MV,27.72,-0.6,73.0833,
Chuy,UY,24.09,-33.6971,-53.4616,
Oranjestad,AW,26.86,12.524,-70.027,
Pangai,TO,27.23,-19.8,-174.35,
San Cristobal,VE,27.93,7.7669,-72.225,
Balikpapan,ID,23.77,-1.2675,116.8289,
Grand Gaube,MU,26.32,-20.0064,57.6608,
Lorengau,PG,27.48,-2.0226,147.2712,
Sao Filipe,CV,24.32,14.8961,-24.4956,
