City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jalu,29.0331,21.5482,13.97,40,100,1.13,LY,2021-12-22 19:08:42
1,Jacareacanga,-6.2222,-57.7528,33.0,49,100,1.26,BR,2021-12-22 19:08:42
2,Cape Town,-33.9258,18.4232,22.84,78,80,2.24,ZA,2021-12-22 19:06:10
3,Lagoa,39.05,-27.9833,15.02,66,100,14.0,PT,2021-12-22 19:08:43
4,Haines Junction,60.7522,-137.5108,-28.22,97,50,1.01,CA,2021-12-22 19:08:43
5,Iqaluit,63.7506,-68.5145,-18.65,91,96,0.89,CA,2021-12-22 19:08:43
6,Yantikovo,55.8216,47.9104,-21.6,97,99,2.34,RU,2021-12-22 19:08:44
7,Methoni,36.8197,21.7049,12.34,64,63,2.57,GR,2021-12-22 19:08:44
8,Porto Novo,6.4965,2.6036,27.3,50,41,2.72,BJ,2021-12-22 19:05:37
9,Vincennes,48.85,2.4333,0.31,87,90,0.89,FR,2021-12-22 19:08:45
10,Hermanus,-34.4187,19.2345,22.72,80,100,6.92,ZA,2021-12-22 19:08:45
11,Camabatela,-8.1881,15.375,18.15,96,95,0.55,AO,2021-12-22 19:08:46
12,Ladario,-19.0047,-57.6017,26.92,80,98,1.38,BR,2021-12-22 19:08:46
13,Busselton,-33.65,115.3333,14.49,87,100,5.05,AU,2021-12-22 19:08:46
14,High Level,58.5169,-117.136,-22.91,97,100,1.15,CA,2021-12-22 19:08:26
15,Vestmannaeyjar,63.4427,-20.2734,1.44,69,11,5.93,IS,2021-12-22 19:08:47
16,Kutum,14.2,24.6667,17.48,19,14,4.7,SD,2021-12-22 19:08:47
17,Atuona,-9.8,-139.0333,25.97,79,23,9.33,PF,2021-12-22 19:08:48
18,Reo,12.3167,-2.4667,26.85,16,100,4.51,BF,2021-12-22 19:08:48
19,Albany,42.6001,-73.9662,3.58,65,51,0.45,US,2021-12-22 19:07:35
20,Barrow,71.2906,-156.7887,-25.44,97,100,6.93,US,2021-12-22 19:08:49
21,Puerto Ayora,-0.7393,-90.3518,22.57,81,77,3.74,EC,2021-12-22 19:08:49
22,Husavik,66.0449,-17.3389,-4.98,86,49,4.55,IS,2021-12-22 19:08:49
23,Tiksi,71.6872,128.8694,-24.9,99,100,2.74,RU,2021-12-22 19:08:50
24,Bethel,41.3712,-73.414,8.39,64,8,1.34,US,2021-12-22 19:08:50
25,Mataura,-46.1927,168.8643,11.38,72,12,2.95,NZ,2021-12-22 19:08:06
26,Braco Do Norte,-28.275,-49.1656,21.95,87,100,2.64,BR,2021-12-22 19:08:51
27,Bluff,-46.6,168.3333,11.56,70,12,11.73,NZ,2021-12-22 19:08:51
28,Ushuaia,-54.8,-68.3,16.41,44,100,2.24,AR,2021-12-22 19:07:28
29,Karratha,-20.7377,116.8463,32.26,16,3,3.44,AU,2021-12-22 19:08:51
30,Avarua,-21.2078,-159.775,26.03,78,75,3.6,CK,2021-12-22 19:08:52
31,Shenzhen,22.5455,114.0683,20.15,93,100,1.29,CN,2021-12-22 19:06:10
32,Wawa,9.9022,4.4192,27.78,26,1,2.52,NG,2021-12-22 19:08:52
33,Nong Khae,14.3406,100.8673,26.1,67,9,0.72,TH,2021-12-22 19:08:52
34,Upernavik,72.7868,-56.1549,-3.91,69,100,4.12,GL,2021-12-22 19:08:53
35,Mount Gambier,-37.8333,140.7667,8.58,93,86,1.49,AU,2021-12-22 19:08:53
36,Severobaykalsk,55.65,109.3167,-23.17,81,14,4.23,RU,2021-12-22 19:08:54
37,Ribeira Grande,38.5167,-28.7,15.22,67,40,11.32,PT,2021-12-22 19:08:54
38,Ayan,56.45,138.1667,-25.34,71,84,5.66,RU,2021-12-22 19:08:54
39,Saint George,37.1041,-113.5841,14.74,26,95,1.09,US,2021-12-22 19:05:58
40,Abashiri,44.0213,144.2697,-1.14,77,100,3.8,JP,2021-12-22 19:08:55
41,Port Alfred,-33.5906,26.891,20.8,85,100,5.01,ZA,2021-12-22 19:08:56
42,Senanga,-16.1167,23.2667,22.12,72,94,2.97,ZM,2021-12-22 19:08:56
43,Binzhou,37.3667,118.0167,2.96,87,86,3.42,CN,2021-12-22 19:08:56
44,Castro,-24.7911,-50.0119,23.59,52,100,0.7,BR,2021-12-22 19:08:57
45,Rikitea,-23.1203,-134.9692,25.18,77,87,5.01,PF,2021-12-22 19:09:57
46,Cabedelo,-6.9811,-34.8339,28.23,71,21,5.62,BR,2021-12-22 19:09:57
47,Mount Darwin,-16.7725,31.5838,21.79,85,100,2.19,ZW,2021-12-22 19:09:58
48,Nazare,-13.035,-39.0144,26.52,85,97,2.0,BR,2021-12-22 19:09:58
49,Kapaa,22.0752,-159.319,21.77,75,60,1.34,US,2021-12-22 19:09:59
50,Souillac,-20.5167,57.5167,26.31,86,100,5.4,MU,2021-12-22 19:09:59
51,Severo-Kurilsk,50.6789,156.125,-3.57,81,85,6.51,RU,2021-12-22 19:09:59
52,Hilo,19.7297,-155.09,19.33,1,100,0.84,US,2021-12-22 19:10:00
53,Chokurdakh,70.6333,147.9167,-28.93,98,100,3.33,RU,2021-12-22 19:10:00
54,Mount Isa,-20.7333,139.5,21.87,83,100,0.51,AU,2021-12-22 19:10:01
55,Cidreira,-30.1811,-50.2056,24.01,62,7,7.28,BR,2021-12-22 19:10:01
56,Tasiilaq,65.6145,-37.6368,-9.01,56,0,1.95,GL,2021-12-22 19:10:01
57,Otane,-39.8833,176.6333,18.02,61,100,1.35,NZ,2021-12-22 19:10:02
58,Tezu,27.9167,96.1667,11.97,85,10,2.33,IN,2021-12-22 19:10:02
59,Bambous Virieux,-20.3428,57.7575,26.23,84,100,6.39,MU,2021-12-22 19:10:03
60,Forecariah,9.4306,-13.0881,28.07,28,84,0.45,GN,2021-12-22 19:10:03
61,Acapulco,16.8634,-99.8901,29.28,63,5,3.12,MX,2021-12-22 19:07:07
62,Noumea,-22.2763,166.4572,26.67,99,1,3.5,NC,2021-12-22 19:06:45
63,Thompson,55.7435,-97.8558,-25.55,91,21,1.05,CA,2021-12-22 19:10:04
64,Bengkulu,-3.8004,102.2655,23.88,91,71,2.36,ID,2021-12-22 19:10:04
65,Kurilsk,45.2333,147.8833,-1.53,68,7,0.4,RU,2021-12-22 19:10:05
66,Ginir,7.1333,40.7,17.18,45,49,2.07,ET,2021-12-22 19:10:05
67,Narsaq,60.9167,-46.05,4.84,46,100,8.84,GL,2021-12-22 19:10:05
68,Vaini,-21.2,-175.2,26.75,70,98,6.83,TO,2021-12-22 19:10:06
69,Hearst,49.6835,-83.6665,-16.4,80,100,3.04,CA,2021-12-22 19:10:01
70,Montecorvino Rovella,40.6918,14.978,10.55,77,79,1.22,IT,2021-12-22 19:10:06
71,New Norfolk,-42.7826,147.0587,9.31,62,100,1.19,AU,2021-12-22 19:10:07
72,Sinop,41.7711,34.8709,-5.06,92,100,1.86,TR,2021-12-22 19:10:07
73,Geraldton,-28.7667,114.6,21.23,83,0,6.17,AU,2021-12-22 19:10:08
74,Dingle,10.9995,122.6711,23.15,93,100,2.8,PH,2021-12-22 19:10:08
75,Houston,29.7633,-95.3633,22.96,64,0,0.89,US,2021-12-22 19:10:09
76,Port Lincoln,-34.7333,135.8667,14.54,85,29,5.2,AU,2021-12-22 19:10:09
77,Kilindoni,-7.9139,39.6668,27.78,73,53,4.65,TZ,2021-12-22 19:10:09
78,Mandalgovi,45.7625,106.2708,-14.65,59,6,5.41,MN,2021-12-22 19:08:06
79,Isangel,-19.55,169.2667,26.47,81,3,2.38,VU,2021-12-22 19:10:10
80,Lompoc,34.6391,-120.4579,18.96,70,100,1.34,US,2021-12-22 19:10:10
81,Fortuna,40.5982,-124.1573,14.4,87,75,1.79,US,2021-12-22 19:10:11
82,Nikolskoye,59.7035,30.7861,-11.66,96,33,2.25,RU,2021-12-22 19:10:11
