City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Atuona,PF,-9.8,-139.0333,25.78,72,15,7.78,few clouds
Savonlinna,FI,61.8699,28.88,-21.97,84,90,1.03,overcast clouds
Flinders,AU,-34.5833,150.8552,21.78,85,59,4.36,broken clouds
Punta Arenas,CL,-53.15,-70.9167,17.06,36,75,13.38,broken clouds
Chuy,UY,-33.6971,-53.4616,25.85,57,80,3.31,broken clouds
Turukhansk,RU,65.8167,87.9833,-19.43,97,100,4.26,overcast clouds
Nikolskoye,RU,59.7035,30.7861,-11.78,96,100,2.13,light snow
Kapaa,US,22.0752,-159.319,24.18,68,40,1.34,scattered clouds
Rikitea,PF,-23.1203,-134.9692,25.4,76,100,9.31,light rain
Usta Muhammad,PK,28.1794,68.0445,19.02,23,88,3.26,overcast clouds
Maumere,ID,-8.6199,122.2111,26.9,79,100,1.59,overcast clouds
Hobart,AU,-42.8794,147.3294,12.92,69,75,4.63,broken clouds
Cordele,US,31.9635,-83.7824,24.29,49,1,7.72,clear sky
Avarua,CK,-21.2078,-159.775,28.03,78,40,4.63,light rain
Hofn,IS,64.2539,-15.2082,2.44,96,100,3.76,overcast clouds
Ushuaia,AR,-54.8,-68.3,13.81,47,75,6.17,broken clouds
Lata,PT,40.1629,-8.3327,13.73,95,100,0.67,overcast clouds
Namatanai,PG,-3.6667,152.4333,26.63,84,100,2.01,light rain
Buin,CL,-33.7333,-70.75,33.92,16,76,6.36,broken clouds
Havelock,US,34.8791,-76.9013,23.13,66,1,6.26,clear sky
Oyama,JP,36.3,139.8,4.77,28,56,2.83,broken clouds
Albany,US,42.6001,-73.9662,3.54,94,100,0.2,overcast clouds
Berdigestyakh,RU,62.0989,126.6992,-34.92,97,100,1.84,overcast clouds
Busselton,AU,-33.65,115.3333,18.38,62,0,6.94,clear sky
Poum,NC,-20.2333,164.0167,27.29,77,73,6.67,broken clouds
Yerbogachen,RU,61.2767,108.0108,-27.34,94,10,1.62,clear sky
Vaini,TO,-21.2,-175.2,28.09,89,75,3.6,moderate rain
Tuktoyaktuk,CA,69.4541,-133.0374,-29.0,69,20,3.6,few clouds
Teya,RU,60.3778,92.6267,-18.22,99,100,0.73,overcast clouds
Tres Arroyos,AR,-38.3739,-60.2798,29.71,18,0,6.01,clear sky
Hithadhoo,MV,-0.6,73.0833,27.72,75,92,5.6,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,-3.91,60,100,3.61,overcast clouds
Gat,IL,31.61,34.7642,11.33,67,0,2.74,clear sky
San Patricio,US,28.017,-97.5169,31.23,50,81,3.42,broken clouds
Sao Filipe,CV,14.8961,-24.4956,24.94,65,81,3.49,broken clouds
Jamestown,US,42.097,-79.2353,12.62,98,90,2.24,mist
Dikson,RU,73.5069,80.5464,-19.6,95,100,3.1,overcast clouds
Butaritari,KI,3.0707,172.7902,27.92,76,75,6.67,broken clouds
Puqi,CN,29.7167,113.8833,-2.1,84,100,5.36,light snow
Hilo,US,19.7297,-155.09,24.04,43,90,2.06,light rain
Cape Town,ZA,-33.9258,18.4232,22.23,71,0,2.24,clear sky
Castro,BR,-24.7911,-50.0119,26.64,34,1,1.57,clear sky
Thompson,CA,55.7435,-97.8558,-25.91,70,20,4.63,few clouds
Mount Gambier,AU,-37.8333,140.7667,13.95,67,90,5.66,overcast clouds
Ketchikan,US,55.3422,-131.6461,-8.01,35,1,3.6,clear sky
Puerto Escondido,MX,15.85,-97.0667,29.46,65,1,3.6,clear sky
Torbay,CA,47.6666,-52.7314,-2.63,87,90,9.26,light shower snow
Itoman,JP,26.1247,127.6694,15.22,77,90,10.8,overcast clouds
Upernavik,GL,72.7868,-56.1549,-16.41,99,99,3.38,overcast clouds
Wattegama,LK,6.7989,81.4808,19.74,84,40,2.21,scattered clouds
Shirhatti,IN,15.2333,75.5833,21.14,50,6,2.68,clear sky
Yarada,IN,17.65,83.2667,23.18,94,40,1.03,mist
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,27.75,77,100,5.98,overcast clouds
Kenai,US,60.5544,-151.2583,-7.73,88,40,1.54,scattered clouds
Cayenne,GF,4.9333,-52.3333,28.02,87,90,3.6,moderate rain
Ilulissat,GL,69.2167,-51.1,-10.99,62,1,4.02,clear sky
Cap Malheureux,MU,-19.9842,57.6142,26.27,84,100,1.97,overcast clouds
Mackay,AU,-21.15,149.2,24.47,94,100,2.06,light rain
Esperance,AU,-33.8667,121.9,16.91,76,74,6.64,broken clouds
Preobrazheniye,RU,42.9019,133.9064,-19.0,69,48,5.74,scattered clouds
East London,ZA,-33.0153,27.9116,21.55,90,100,6.93,light rain
Bredasdorp,ZA,-34.5322,20.0403,19.6,88,89,6.17,overcast clouds
Yanam,IN,16.7333,82.2167,20.45,82,5,0.39,light rain
Souillac,MU,-20.5167,57.5167,26.21,89,75,1.54,broken clouds
Chokurdakh,RU,70.6333,147.9167,-28.1,97,100,5.46,overcast clouds
